time,value,run
0.001016,1,0
0.002012,0,0
0.003012,0,0
0.004016,0,0
0.005012,0,0
0.006016,0,0
0.007016,2,0
0.008012,0,0
0.009016,0,0
0.010016,0,0
0.011012,0,0
0.012012,2,0
0.013012,2,0
0.014012,0,0
0.015012,0,0
0.016016,0,0
0.017012,4,0
0.018012,0,0
0.019012,0,0
0.020016,0,0
0.021012,0,0
0.022012,0,0
0.023012,1,0
0.024016,0,0
0.025012,0,0
0.026016,0,0
0.027012,0,0
0.028012,0,0
0.029012,0,0
0.030012,0,0
0.031016,0,0
0.032016,0,0
0.033012,0,0
0.034012,0,0
0.035012,0,0
0.036016,0,0
0.037012,1,0
0.038016,3,0
0.039016,0,0
0.040016,0,0
0.041012,0,0
0.042012,0,0
0.04302,3,0
0.044012,4,0
0.045012,1,0
0.046012,0,0
0.047012,0,0
0.048012,0,0
0.049012,5,0
0.050012,4,0
0.051016,0,0
0.052016,0,0
0.053012,0,0
0.054016,0,0
0.055016,3,0
0.056016,3,0
0.057012,4,0
0.058012,0,0
0.059016,0,0
0.060016,0,0
0.061016,0,0
0.062016,2,0
0.063016,3,0
0.064016,3,0
0.065012,0,0
0.066016,0,0
0.067012,0,0
0.068016,0,0
0.069012,3,0
0.070016,1,0
0.071016,0,0
0.072016,0,0
0.073012,0,0
0.074016,1,0
0.075016,2,0
0.076016,0,0
0.077016,0,0
0.078016,0,0
0.079016,0,0
0.080016,0,0
0.081012,0,0
0.082016,0,0
0.083012,3,0
0.084016,3,0
0.085012,0,0
0.086012,0,0
0.087012,0,0
0.088012,0,0
0.089012,0,0
0.090012,0,0
0.091012,1,0
0.092016,2,0
0.093016,3,0
0.094016,0,0
0.095016,0,0
0.096016,0,0
0.097012,0,0
0.098016,0,0
0.099016,0,0
0.100012,0,0
0.101012,2,0
0.102016,0,0
0.103012,0,0
0.104012,0,0
0.105012,0,0
0.106012,0,0
0.107012,0,0
0.108012,0,0
0.109012,0,0
0.110012,0,0
0.111012,0,0
0.112012,1,0
0.113012,0,0
0.114012,0,0
0.115012,0,0
0.116012,0,0
0.117012,2,0
0.118012,1,0
0.119012,0,0
0.120012,0,0
0.121012,0,0
0.122012,0,0
0.123012,0,0
0.124012,1,0
0.125012,3,0
0.126012,1,0
0.127012,0,0
0.128012,0,0
0.129016,0,0
0.130016,0,0
0.131016,1,0
0.132012,2,0
0.133012,0,0
0.134012,0,0
0.135012,0,0
0.136012,0,0
0.137012,0,0
0.138012,0,0
0.139012,0,0
0.140012,0,0
0.141012,0,0
0.142012,1,0
0.143012,0,0
0.144012,0,0
0.145012,0,0
0.146012,0,0
0.147012,0,0
0.148012,0,0
0.149012,0,0
0.150012,4,0
0.151012,0,0
0.152016,0,0
0.153012,0,0
0.154012,0,0
0.155012,0,0
0.156012,0,0
0.157012,0,0
0.158012,0,0
0.159012,0,0
0.160012,1,0
0.161012,1,0
0.162012,0,0
0.163012,0,0
0.164012,0,0
0.165012,0,0
0.166012,0,0
0.167012,3,0
0.168012,2,0
0.169012,0,0
0.170012,0,0
0.171016,0,0
0.172012,0,0
0.173012,0,0
0.174012,0,0
0.175012,0,0
0.176012,0,0
0.177012,0,0
0.178012,1,0
0.179012,0,0
0.180012,0,0
0.181012,4,0
0.182012,7,0
0.183012,1,0
0.184012,0,0
0.185012,0,0
0.186012,0,0
0.187016,6,0
0.188012,6,0
0.189012,0,0
0.190012,0,0
0.191012,0,0
0.192016,0,0
0.193012,0,0
0.194012,3,0
0.195012,4,0
0.196012,0,0
0.197012,0,0
0.198012,0,0
0.199012,0,0
0.200012,4,0
0.201012,3,0
0.202012,0,0
0.203012,0,0
0.204012,0,0
0.205012,0,0
0.206012,2,0
0.207012,4,0
0.208012,3,0
0.209012,0,0
0.210012,0,0
0.211012,0,0
0.212012,0,0
0.213012,0,0
0.214012,0,0
0.215012,0,0
0.216012,0,0
0.217012,0,0
0.218012,0,0
0.219012,0,0
0.220012,0,0
0.221012,0,0
0.222012,0,0
0.223012,0,0
0.224012,0,0
0.225012,1,0
0.226012,0,0
0.227012,0,0
0.228012,0,0
0.229012,0,0
0.230016,3,0
0.231012,2,0
0.232012,0,0
0.233012,0,0
0.234012,0,0
0.235012,0,0
0.236016,0,0
0.237012,0,0
0.238012,0,0
0.239012,0,0
0.240016,2,0
0.241012,4,0
0.242012,2,0
0.243012,0,0
0.244016,0,0
0.245012,0,0
0.246012,0,0
0.247012,4,0
0.248012,6,0
0.249012,0,0
0.250012,0,0
0.251012,0,0
0.252012,1,0
0.253012,5,0
0.254012,0,0
0.255012,0,0
0.256016,0,0
0.257016,3,0
0.258016,8,0
0.259016,2,0
0.260012,0,0
0.261016,0,0
0.262012,0,0
0.263012,7,0
0.264012,5,0
0.265012,0,0
0.266012,0,0
0.267012,0,0
0.268012,8,0
0.269012,2,0
0.270012,0,0
0.271012,0,0
0.272012,0,0
0.273012,7,0
0.274012,4,0
0.275012,0,0
0.276016,0,0
0.277012,0,0
0.278012,0,0
0.279012,2,0
0.280016,2,0
0.281012,0,0
0.282012,0,0
0.283012,0,0
0.284012,0,0
0.285012,0,0
0.286012,1,0
0.287012,1,0
0.288012,0,0
0.289012,0,0
0.290012,0,0
0.291012,0,0
0.292012,1,0
0.293012,0,0
0.294012,0,0
0.295016,1,0
0.296016,1,0
0.297012,1,0
0.298012,0,0
0.29902,0,0
0.300012,2,0
0.301012,0,0
0.302012,0,0
0.303012,0,0
0.304012,1,0
0.305012,5,0
0.306012,0,0
0.307012,0,0
0.308016,0,0
0.309012,0,0
0.310012,0,0
0.311012,3,0
0.312016,4,0
0.313012,1,0
0.314012,0,0
0.315016,0,0
0.316016,0,0
0.317016,0,0
0.318016,2,0
0.319016,0,0
0.320016,0,0
0.321012,0,0
0.322012,1,0
0.323012,2,0
0.324012,1,0
0.325012,0,0
0.326012,0,0
0.327012,0,0
0.328012,0,0
0.329012,0,0
0.330012,2,0
0.331012,2,0
0.332012,1,0
0.333012,0,0
0.334012,0,0
0.335012,0,0
0.336012,0,0
0.337012,0,0
0.338012,0,0
0.339012,0,0
0.340012,0,0
0.341012,1,0
0.342012,0,0
0.343012,0,0
0.344012,0,0
0.345012,2,0
0.346012,2,0
0.347012,0,0
0.348012,0,0
0.349012,0,0
0.350012,0,0
0.351012,0,0
0.352012,0,0
0.353012,3,0
0.354012,3,0
0.355012,0,0
0.356012,0,0
0.357012,0,0
0.358016,0,0
0.359016,2,0
0.360012,0,0
0.361012,1,0
0.362012,0,0
0.363012,0,0
0.364012,0,0
0.365012,0,0
0.366012,0,0
0.367012,0,0
0.368016,1,0
0.369012,1,0
0.370012,0,0
0.371012,0,0
0.372016,0,0
0.373012,0,0
0.374012,0,0
0.375012,0,0
0.376016,0,0
0.377012,0,0
0.378012,1,0
0.379012,2,0
0.380012,1,0
0.381012,0,0
0.382016,0,0
0.383016,0,0
0.384016,0,0
0.385016,1,0
0.386012,4,0
0.387012,4,0
0.388012,0,0
0.389012,0,0
0.390012,0,0
0.391012,1,0
0.392016,0,0
0.393012,0,0
0.394012,0,0
0.395012,0,0
0.396016,1,0
0.397012,0,0
0.398012,0,0
0.399016,0,0
0.400016,0,0
0.401012,3,0
0.402012,8,0
0.403012,2,0
0.404016,0,0
0.405012,0,0
0.406012,0,0
0.407012,5,0
0.408016,6,0
0.409012,0,0
0.410016,0,0
0.411012,0,0
0.412012,1,0
0.413012,2,0
0.414012,0,0
0.415012,0,0
0.416012,0,0
0.417012,0,0
0.418012,0,0
0.419012,8,0
0.420012,7,0
0.421012,0,0
0.422012,0,0
0.423012,0,0
0.424012,1,0
0.425012,2,0
0.426012,1,0
0.42702,0,0
0.428012,0,0
0.429012,0,0
0.430012,2,0
0.431012,1,0
0.432012,0,0
0.433012,0,0
0.434012,0,0
0.435012,0,0
0.436016,5,0
0.437012,5,0
0.438012,0,0
0.439012,0,0
0.440016,0,0
0.441012,3,0
0.442012,4,0
0.443016,0,0
0.444012,0,0
0.445012,0,0
0.446012,9,0
0.447012,5,0
0.448016,0,0
0.449012,0,0
0.450012,0,0
0.451012,0,0
0.452012,0,0
0.453012,0,0
0.454012,0,0
0.455012,3,0
0.456012,1,0
0.457012,0,0
0.458012,0,0
0.459012,0,0
0.460016,0,0
0.461016,1,0
0.462012,1,0
0.463012,2,0
0.464012,0,0
0.465012,0,0
0.466012,0,0
0.467012,0,0
0.468016,1,0
0.469012,0,0
0.470012,0,0
0.471012,0,0
0.472012,0,0
0.473012,0,0
0.474012,3,0
0.475012,2,0
0.476016,1,0
0.477016,2,0
0.478012,0,0
0.479016,0,0
0.480016,0,0
0.481012,0,0
0.482012,0,0
0.483012,0,0
0.484016,2,0
0.485012,3,0
0.486016,0,0
0.487016,0,0
0.488012,0,0
0.489012,0,0
0.490012,6,0
0.491012,8,0
0.492016,2,0
0.493012,0,0
0.494012,0,0
0.495012,0,0
0.496016,2,0
0.497012,1,0
0.498012,0,0
0.499012,0,0
0.500016,0,0
0.501012,0,0
0.502012,1,0
0.503012,1,0
0.504016,0,0
0.505012,0,0
0.506016,0,0
0.507012,0,0
0.508016,2,0
0.509012,4,0
0.510016,0,0
0.511016,0,0
0.512016,0,0
0.513016,0,0
0.514012,9,0
0.515012,9,0
0.516012,1,0
0.517012,0,0
0.518012,0,0
0.519012,0,0
0.520012,2,0
0.521012,2,0
0.522012,0,0
0.523012,0,0
0.524012,0,0
0.525012,2,0
0.526012,2,0
0.527012,0,0
0.528012,0,0
0.529012,0,0
0.530012,0,0
0.531012,1,0
0.532016,1,0
0.533012,0,0
0.534012,0,0
0.535012,0,0
0.536016,3,0
0.537012,8,0
0.538012,6,0
0.539012,0,0
0.540012,0,0
0.541012,0,0
0.542012,0,0
0.543012,5,0
0.544016,4,0
0.545012,0,0
0.546012,0,0
0.547012,0,0
0.548016,0,0
0.549012,1,0
0.550016,2,0
0.551016,1,0
0.552016,0,0
0.553012,0,0
0.554012,0,0
0.55502,0,0
0.556012,2,0
0.557012,1,0
0.558012,0,0
0.559012,0,0
0.560012,0,0
0.561012,0,0
0.562012,0,0
0.563012,0,0
0.564016,0,0
0.565012,0,0
0.566012,0,0
0.567012,0,0
0.568016,0,0
0.569012,0,0
0.570012,0,0
0.571016,0,0
0.572016,1,0
0.573016,0,0
0.574016,0,0
0.575012,0,0
0.576016,1,0
0.577012,2,0
0.578012,0,0
0.579012,0,0
0.580012,0,0
0.581012,0,0
0.582016,1,0
0.583012,4,0
0.584016,2,0
0.585012,0,0
0.586012,0,0
0.587012,0,0
0.588016,0,0
0.589016,3,0
0.590012,0,0
0.591016,0,0
0.592016,0,0
0.593012,0,0
0.594016,0,0
0.595012,2,0
0.596016,0,0
0.597012,0,0
0.598012,0,0
0.599012,0,0
0.600016,1,0
0.601012,3,0
0.602012,3,0
0.603012,0,0
0.604016,0,0
0.605016,0,0
0.606016,0,0
0.607016,1,0
0.608016,0,0
0.609012,0,0
0.610016,0,0
0.611016,3,0
0.612016,6,0
0.613016,0,0
0.614012,0,0
0.615016,0,0
0.616012,0,0
0.617012,6,0
0.618012,3,0
0.619012,0,0
0.620016,0,0
0.621012,0,0
0.622012,0,0
0.623016,0,0
0.624016,0,0
0.625012,0,0
0.626012,0,0
0.627012,0,0
0.628016,0,0
0.629012,1,0
0.630016,4,0
0.631016,1,0
0.632016,0,0
0.633016,0,0
0.634016,0,0
0.635016,2,0
0.636016,3,0
0.637016,0,0
0.638016,0,0
0.639016,0,0
0.640016,1,0
0.641016,3,0
0.642012,2,0
0.643012,0,0
0.644012,0,0
0.645012,0,0
0.646012,2,0
0.647012,4,0
0.648012,1,0
0.649012,0,0
0.650012,0,0
0.651012,0,0
0.652016,1,0
0.653012,3,0
0.654012,1,0
0.655016,0,0
0.656016,0,0
0.657012,0,0
0.658012,0,0
0.659012,0,0
0.660012,0,0
0.661012,0,0
0.662012,0,0
0.663012,0,0
0.664016,0,0
0.665012,1,0
0.666012,0,0
0.667012,0,0
0.668012,0,0
0.669012,0,0
0.670012,0,0
0.671012,3,0
0.672012,6,0
0.673012,4,0
0.674012,0,0
0.675012,0,0
0.676012,0,0
0.677012,0,0
0.678012,2,0
0.679016,1,0
0.680012,0,0
0.681012,0,0
0.682012,0,0
0.68302,2,0
0.684012,0,0
0.685012,1,0
0.686012,3,0
0.687012,3,0
0.688012,0,0
0.689012,0,0
0.690012,0,0
0.691012,2,0
0.692016,1,0
0.693012,0,0
0.694012,0,0
0.695012,1,0
0.696016,0,0
0.697012,0,0
0.698012,0,0
0.699016,0,0
0.700012,0,0
0.701012,1,0
0.702016,0,0
0.703016,1,0
0.704016,0,0
0.705012,0,0
0.706012,0,0
0.707012,2,0
0.708016,7,0
0.709012,2,0
0.710016,0,0
0.711016,0,0
0.712016,0,0
0.713012,5,0
0.714016,7,0
0.715016,4,0
0.716016,0,0
0.717016,0,0
0.718012,0,0
0.719012,0,0
0.720016,0,0
0.721012,0,0
0.722012,2,0
0.723012,2,0
0.724016,1,0
0.725012,0,0
0.726012,0,0
0.727012,0,0
0.728012,3,0
0.729012,7,0
0.730012,1,0
0.731012,0,0
0.732016,0,0
0.733016,3,0
0.734016,2,0
0.735016,0,0
0.736016,0,0
0.737012,0,0
0.738016,0,0
0.739012,2,0
0.740016,4,0
0.741012,4,0
0.742016,0,0
0.743016,0,0
0.744016,0,0
0.745012,0,0
0.746012,0,0
0.747012,3,0
0.748016,1,0
0.749012,0,0
0.750012,0,0
0.751016,0,0
0.752016,0,0
0.753012,0,0
0.754016,1,0
0.755016,1,0
0.756016,3,0
0.757012,0,0
0.758016,0,0
0.759016,0,0
0.760016,0,0
0.761012,0,0
0.762016,0,0
0.763016,0,0
0.764016,0,0
0.765016,1,0
0.766016,0,0
0.767016,0,0
0.768016,0,0
0.769016,0,0
0.770012,0,0
0.771012,1,0
0.772012,0,0
0.773012,0,0
0.774012,0,0
0.775016,0,0
0.776016,0,0
0.777012,0,0
0.778016,0,0
0.779016,0,0
0.780016,5,0
0.781012,7,0
0.782012,1,0
0.783016,0,0
0.784016,0,0
0.785012,0,0
0.786012,3,0
0.787012,4,0
0.788016,1,0
0.789012,0,0
0.790016,0,0
0.791016,0,0
0.792016,0,0
0.793016,0,0
0.794016,0,0
0.795016,0,0
0.796016,1,0
0.797016,0,0
0.798016,0,0
0.799016,0,0
0.800016,3,0
0.801012,0,0
0.802012,0,0
0.803012,0,0
0.804016,0,0
0.805012,3,0
0.806016,3,0
0.807016,0,0
0.808016,0,0
0.809012,0,0
0.810012,2,0
0.81102,2,0
0.812012,0,0
0.813012,0,0
0.814012,0,0
0.815012,6,0
0.816012,2,0
0.817012,0,0
0.818016,0,0
0.819016,0,0
0.820016,0,0
0.821012,0,0
0.822012,0,0
0.823012,0,0
0.824012,3,0
0.825012,2,0
0.826012,0,0
0.827016,0,0
0.828012,0,0
0.829012,1,0
0.830012,3,0
0.831012,0,0
